emotion,txt_cleaned
0,product_target hr tweet riseaustin dead need upgrade plugin station sxsw
2,know awesome ipadiphone product_target youll likely appreciate design also theyre give free t sxsw
2,wait product_target also sale sxsw
0,hope year festival isnt crashy year iphone product_target sxsw
2,great stuff fri sxsw marissa mayer product_target tim oreilly tech booksconferences amp matt mullenweg wordpress
2,sxsw start ctia around corner googleio hop skip jump good time product_target fan
2,beautifully smart simple idea write hollergram ipad product_target sxsw httpbitlyieavob
2,count day sxsw plus strong canadian dollar mean stock product_target gear
2,excited meet sxsw show sprint galaxy still run product_target fail
2,find amp start impromptu party sxsw httpbitlygvlrin cant wait til product_target app come
2,foursquare ups game time sxsw still prefer far best look product_target app date
2,gotta love sxsw google calendar feature top party show case check via gthttpbitlyaxzwxb
2,great sxsw ipad product_target
2,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw
0,noticed dst come weekend many product_target user hour late sxsw come sunday morning sxsw product_target
2,add sxsw flight match people planesairports also download iphone product_target nicely do
2,must sxsw product_target lovely review forbes sxsw ipad product_target holler gram
2,need buy im austin sxsw sure ill need q austin apple store
2,oh god sxsw product_target ipad pure unadulterated awesome easy browse event ipad website
2,okay really yay new product_target kthxbai sxsw
2,photo instal sxsw iphone product_target really nice
2,really enjoy change gowalla product_target look forward see else amp foursquare sleeve sxsw
2,im look forward smcdallas pre sxsw party wed hop ill win product_target result shameless promotion chevysmc
2,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw via
2,someone start austin group google group presxsw great idea
2,new look like go rock update iphone android push tonight httpbitlyetsbzk sxsw keepaustinweird
2,right app product_target sweeeeet nice job team sxsw
2,smart hollergram ipad product_target sxsw may leave vuvuzela home
2,must product_target ipad go sxsw hollergram
2,best ha first line sxsw quotpopupquot apple store event planner eventprofs pcma
0,false alarm product_target circle come probably ever product_target circle social sxsw
2,great weather greet sxsw still need sweater nightapple put quotflash storequot downtown sell
2,open instant access wait one apple sxsw
2,hooray product_target open popup store austin sxsw
2,wooooo product_target store downtown austin open til midnight
2,talk google effort allow user open system bettercloud
2,stop sxsw chaos amp hunt austin java spy game chance win product_target
2,omfg heard apple popup store downtown austin pic already gowalla sxsw
1,smile think apple quotpopup storequot austin would lot interest actually know popped sxsw
0,attend product_target design headache sxsw
2,check amp line product_target austin power sxswi sxsw
2,come party w product_target tonight sxsw band food art ice cream nifty interactive map
2,holla product_target party best ever butt sxsw
2,love product_target case sxsw cant product_target fail
2,new post iphone product_target make easy connect social network people meet sxsw
2,nice iphone product_target behave today crash yesterday ridiculous sxsw
2,nice hey product_target fan peek space thats slat popup sxsw product_target store tomorrow
2,one thing great great earth face product_target company love sxsw sxwsi
2,thanks mention new speech ipad apps showcased sxsw conf sxswh sxsh
0,sxsw provide product_target charger ive change mind go next year
2,xmas shiny new apps new book popup product_target store sxsw christmas nerd
2,yai new ubersocial product_target app store include uberguide sxsw sponsor cont
2,fast fun amp future product_target present sxsw search local mobile
2,headline quotipad musthave gadget sxswquot hmm could see one come gadget
2,quotgoogle launch checkins month agoquot check in ok check out future sxsw bizzy
2,quotgoogle tweetquot new quotthink speakquot mark belinsky panel
2,kawasaki quotnot c lewis level reason apple continue existence evidence existence godquot bawl sxsw
2,kawasaki quotpagemaker save applequot oh day sxsw jwtatl enchantment via
2,sxsw apple product_target great thought w japan apac region deal w earthquake amp tsunami trauma sxswi
2,sxsw product_target school marketing expert
2,temporary product_target store def tent powerhouse gym sxsw
