emotion,txt_cleaned
0,product_target hrs tweeting riseaustin dead need upgrade plugin stations sxsw
2,know awesome ipadiphone product_target youll likely appreciate design also theyre giving free ts sxsw
2,wait product_target also sale sxsw
0,hope years festival isnt crashy years iphone product_target sxsw
2,great stuff fri sxsw marissa mayer product_target tim oreilly tech booksconferences amp matt mullenweg wordpress
2,sxsw starting ctia around corner googleio hop skip jump good time product_target fan
2,beautifully smart simple idea wrote hollergram ipad product_target sxsw httpbitlyieavob
2,counting days sxsw plus strong canadian dollar means stock product_target gear
2,excited meet sxsw show sprint galaxy still running product_target fail
2,find amp start impromptu parties sxsw httpbitlygvlrin cant wait til product_target app comes
2,foursquare ups game time sxsw still prefer far best looking product_target app date
2,gotta love sxsw google calendar featuring top parties show cases check via gthttpbitlyaxzwxb
2,great sxsw ipad product_target
2,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw
0,noticed dst coming weekend many product_target users hour late sxsw come sunday morning sxsw product_target
2,added sxsw flights matching people planesairports also downloaded iphone product_target nicely done
2,must sxsw product_target lovely review forbes sxsw ipad product_target holler gram
2,need buy im austin sxsw sure ill need q austin apple store
2,oh god sxsw product_target ipad pure unadulterated awesome easier browse events ipad website
2,okay really yay new product_target kthxbai sxsw
2,photo installed sxsw iphone product_target really nice
2,really enjoying changes gowalla product_target looking forward seeing else amp foursquare sleeves sxsw
2,im looking forward smcdallas pre sxsw party wed hoping ill win product_target resulting shameless promotion chevysmc
2,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw via
2,someone started austin group google groups presxsw great idea
2,new looks like going rock update iphone android push tonight httpbitlyetsbzk sxsw keepaustinweird
2,right app product_target sweeeeet nice job team sxsw
2,smart hollergram ipad product_target sxsw may leave vuvuzela home
2,must product_target ipad going sxsw hollergram
2,best ha first line sxsw quotpopupquot apple store event planner eventprofs pcma
0,false alarm product_target circles coming probably ever product_target circles social sxsw
2,great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell
2,opens instant access waited one apple sxsw
2,hooray product_target opening popup store austin sxsw
2,wooooo product_target store downtown austin open til midnight
2,talking googles effort allow users open systems bettercloud
2,stop sxsw chaos amp hunt austin java spy game chance win product_target
2,omfg heard apples popup store downtown austin pics already gowalla sxsw
1,smile think apples quotpopup storequot austin would lot interesting actually know popped sxsw
0,attending product_target design headaches sxsw
2,check amp line product_target austin power sxswi sxsw
2,come party w product_target tonight sxsw bands food art ice cream nifty interactive maps
2,holla product_target party best ever butt sxsw
2,love product_target case sxsw cant product_target fail
2,new post iphone product_target makes easy connect social networks people meet sxsw
2,nice iphone product_target behaving today crashes yesterday ridiculous sxsw
2,nice hey product_target fans peek space thats slated popup sxsw product_target store tomorrow
2,one thing great great earth face product_target company love sxsw sxwsi
2,thanks mention new speech ipad apps showcased sxsw conf sxswh sxsh
0,sxsw provide product_target chargers ive changed mind going next year
2,xmas shiny new apps new book popup product_target stores sxsw christmas nerds
2,yai new ubersocial product_target app store includes uberguide sxsw sponsored cont
2,fast fun amp future product_target presenting sxsw search local mobile
2,headline quotipad musthave gadget sxswquot hmm could seen one coming gadget
2,quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy
2,quotgoogle tweetquot new quotthink speakquot mark belinsky panel
2,kawasaki quotnot cs lewis level reasoning apples continued existence evidence existence godquot bawling sxsw
2,kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment via
2,sxsw apple product_target great thoughts w japan apac regions dealing w earthquake amp tsunami trauma sxswi
2,sxsw product_target schools marketing experts
2,temporary product_target store def tent powerhouse gym sxsw
2,temporary product_target store congress sxsw along happy hipsters
2,product_target wins sxsw opening temporary store downtown austin support launch good
2,product_target austin trending today fun sxsw nerdy nerds
2,christian ipad iphone devs want talk u sxsw maybe wk together cool product_target
2,apple taken sxsw austin storm excited part mobile
2,haz ifrom sxsw
2,stacks waiting bought sxsw got mine hassle apple handled perfectly
2,take sxsw major south korean director gets make movie entirely product_target
2,beautiful sxsw product_target store sxsw pic
2,must sxsw product_target lovely review forbes sxsw ipad product_target holler gram
2,temporary sxsw product_target store product_target sneaky usual
2,sxsw beta testing interactive book ipad product_target moonbot studios louisiana cool
2,apple sxsw day one seeing ton
2,sxsw product_target store sold everything except wifi manage
2,sxsw product_target store sold everything except wifi also known white jeans configuration
2,offered sxsw product_target promo ninjafinder users fans sxsw sucks sxsw
2,poursite sxsw learning lifechanging impact product_target real peoples actual lives bravo
2,apple sxsw store still product_target short lines
2,left sxsw tradeshow demo google theatre ok see presenters using
2,anyone sxsw want make quick hundred dollars new product_target hoc apple store gets hundred plus cost
2,monday sxsw barry diller new york times congress lunch w hotel party product_target party six dirty martinis mondays
0,seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync
2,ready sxsw iphone apps make ur blogging easier sxsw sxswi
0,sxswa conflagration doofusness
2,attention sxswers rumored popup temporary product_target store sxsw ipad launch needs
2,went sxswi lousy product_target sxsw
2,winning picture product_target google sxsw
0,spent come sxsw already used product_target wait couple city blocks sxsw
2,behind emails give line product_target composed replies sxsw protip
2,like night line around block popup apple stores selling sxsw
0,im product_target seen wild people say fast still pics terrible sxsw
2,product_target takes sxsw video
2,many product_target snapping away keynote slides sxsw
2,new post iphone apps well using south southwest interactive sxsw sxswi
2,sweet new google maps demo going ballroom sxsw
2,million miles per day driving google maps navigation sxsw
2,sxsw day product_target store theres still lineand growing
2,youre band sxsw want share track audience stage use frostwire product_target theres wifi available
2,u iphone dont need caruse zimride etc share rides sxsw shareable
2,picked mophie battery case product_target prep sxsw lugging around laptop amp using product_target huge win last year
2,rumor monger good read google circles preview sxsw via socbiz fb
