emotion,txt_cleaned
0.0,product_target hr tweet riseaustin dead need upgrade plugin station sxsw
2.0,know awesome ipadiphone product_target youll likely appreciate design also theyre give free t sxsw
2.0,wait product_target also sale sxsw
0.0,hope year festival isnt crashy year iphone product_target sxsw
2.0,great stuff fri sxsw marissa mayer product_target tim oreilly tech booksconferences amp matt mullenweg wordpress
2.0,sxsw start ctia around corner googleio hop skip jump good time product_target fan
2.0,beautifully smart simple idea write hollergram ipad product_target sxsw httpbitlyieavob
2.0,count day sxsw plus strong canadian dollar mean stock product_target gear
2.0,excited meet sxsw show sprint galaxy still run product_target fail
2.0,find amp start impromptu party sxsw httpbitlygvlrin cant wait til product_target app come
2.0,foursquare ups game time sxsw still prefer far best look product_target app date
2.0,gotta love sxsw google calendar feature top party show case check via gthttpbitlyaxzwxb
2.0,great sxsw ipad product_target
2.0,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw
0.0,noticed dst come weekend many product_target user hour late sxsw come sunday morning sxsw product_target
2.0,add sxsw flight match people planesairports also download iphone product_target nicely do
2.0,must sxsw product_target lovely review forbes sxsw ipad product_target holler gram
2.0,need buy im austin sxsw sure ill need q austin apple store
2.0,oh god sxsw product_target ipad pure unadulterated awesome easy browse event ipad website
2.0,okay really yay new product_target kthxbai sxsw
2.0,photo instal sxsw iphone product_target really nice
2.0,really enjoy change gowalla product_target look forward see else amp foursquare sleeve sxsw
2.0,im look forward smcdallas pre sxsw party wed hop ill win product_target result shameless promotion chevysmc
2.0,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw via
2.0,someone start austin group google group presxsw great idea
2.0,new look like go rock update iphone android push tonight httpbitlyetsbzk sxsw keepaustinweird
2.0,right app product_target sweeeeet nice job team sxsw
2.0,smart hollergram ipad product_target sxsw may leave vuvuzela home
2.0,must product_target ipad go sxsw hollergram
2.0,best ha first line sxsw quotpopupquot apple store event planner eventprofs pcma
0.0,false alarm product_target circle come probably ever product_target circle social sxsw
2.0,great weather greet sxsw still need sweater nightapple put quotflash storequot downtown sell
2.0,open instant access wait one apple sxsw
2.0,hooray product_target open popup store austin sxsw
2.0,wooooo product_target store downtown austin open til midnight
2.0,talk google effort allow user open system bettercloud
2.0,stop sxsw chaos amp hunt austin java spy game chance win product_target
2.0,omfg heard apple popup store downtown austin pic already gowalla sxsw
1.0,smile think apple quotpopup storequot austin would lot interest actually know popped sxsw
0.0,attend product_target design headache sxsw
2.0,check amp line product_target austin power sxswi sxsw
2.0,come party w product_target tonight sxsw band food art ice cream nifty interactive map
2.0,holla product_target party best ever butt sxsw
2.0,love product_target case sxsw cant product_target fail
2.0,new post iphone product_target make easy connect social network people meet sxsw
2.0,nice iphone product_target behave today crash yesterday ridiculous sxsw
2.0,nice hey product_target fan peek space thats slat popup sxsw product_target store tomorrow
2.0,one thing great great earth face product_target company love sxsw sxwsi
2.0,thanks mention new speech ipad apps showcased sxsw conf sxswh sxsh
0.0,sxsw provide product_target charger ive change mind go next year
2.0,xmas shiny new apps new book popup product_target store sxsw christmas nerd
2.0,yai new ubersocial product_target app store include uberguide sxsw sponsor cont
2.0,fast fun amp future product_target present sxsw search local mobile
2.0,headline quotipad musthave gadget sxswquot hmm could see one come gadget
2.0,quotgoogle launch checkins month agoquot check in ok check out future sxsw bizzy
2.0,quotgoogle tweetquot new quotthink speakquot mark belinsky panel
2.0,kawasaki quotnot c lewis level reason apple continue existence evidence existence godquot bawl sxsw
2.0,kawasaki quotpagemaker save applequot oh day sxsw jwtatl enchantment via
2.0,sxsw apple product_target great thought w japan apac region deal w earthquake amp tsunami trauma sxswi
2.0,sxsw product_target school marketing expert
2.0,temporary product_target store def tent powerhouse gym sxsw
2.0,temporary product_target store congress sxsw along happy hipster
2.0,product_target win sxsw open temporary store downtown austin support launch good
2.0,product_target austin trend today fun sxsw nerdy nerd
2.0,christian ipad iphone devs want talk u sxsw maybe wk together cool product_target
2.0,apple take sxsw austin storm excite part mobile
2.0,haz ifrom sxsw
2.0,stack wait buy sxsw get mine hassle apple handle perfectly
2.0,take sxsw major south korean director get make movie entirely product_target
2.0,beautiful sxsw product_target store sxsw pic
2.0,must sxsw product_target lovely review forbes sxsw ipad product_target holler gram
2.0,temporary sxsw product_target store product_target sneaky usual
2.0,sxsw beta test interactive book ipad product_target moonbot studio louisiana cool
2.0,apple sxsw day one seeing ton
2.0,sxsw product_target store sell everything except wifi manage
2.0,sxsw product_target store sell everything except wifi also know white jean configuration
2.0,offer sxsw product_target promo ninjafinder user fan sxsw suck sxsw
2.0,poursite sxsw learn lifechanging impact product_target real people actual life bravo
2.0,apple sxsw store still product_target short line
2.0,leave sxsw tradeshow demo google theatre ok see presenter use
2.0,anyone sxsw want make quick hundred dollar new product_target hoc apple store get hundred plus cost
2.0,monday sxsw barry diller new york time congress lunch w hotel party product_target party six dirty martini monday
0.0,seriously sxsw test mobile apps constant ipad crash cause lose schedule sync
2.0,ready sxsw iphone apps make ur blogging easy sxsw sxswi
0.0,sxswa conflagration doofusness
2.0,attention sxswers rumor popup temporary product_target store sxsw ipad launch need
2.0,go sxswi lousy product_target sxsw
2.0,win picture product_target google sxsw
0.0,spent come sxsw already use product_target wait couple city block sxsw
2.0,behind email give line product_target compose reply sxsw protip
2.0,like night line around block popup apple store sell sxsw
0.0,im product_target see wild people say fast still pic terrible sxsw
2.0,product_target take sxsw video
2.0,many product_target snap away keynote slide sxsw
2.0,new post iphone apps well use south southwest interactive sxsw sxswi
2.0,sweet new google map demo go ballroom sxsw
2.0,million mile per day drive google map navigation sxsw
2.0,sxsw day product_target store there still lineand grow
2.0,youre band sxsw want share track audience stage use frostwire product_target there wifi available
2.0,u iphone dont need caruse zimride etc share rid sxsw shareable
2.0,pick mophie battery case product_target prep sxsw lug around laptop amp use product_target huge win last year
2.0,rumor monger good read google circle preview sxsw via socbiz fb
2.0,hobo shotgun video game come ipadiphone user yes please sxsw
2.0,build store less hour one big launch companys history get product_target sxsw
2.0,read groupme sxswsounds like incredible product_target available android phone yet
0.0,product_target alarm botch timechange many sxswers freak late flight miss panel behind bloody mary
2.0,shouts lady hold product_target free sxsw show take photo sip free beer cc
0.0,meant also wish sxsw dyac stupid product_target
2.0,rumor product_target store opening sxsw amp congress sign point yes
2.0,pick product_target sxsw pop apple store minute wait
2.0,brilliant enlighten game mechanic presentation product_target sxsw
2.0,marketing sale genius product_target sxsw
