emotion,txt_cleaned
0.0,product_target hrs tweeting riseaustin dead need upgrade plugin stations sxsw
2.0,know awesome ipadiphone product_target youll likely appreciate design also theyre giving free ts sxsw
2.0,wait product_target also sale sxsw
0.0,hope years festival isnt crashy years iphone product_target sxsw
2.0,great stuff fri sxsw marissa mayer product_target tim oreilly tech booksconferences amp matt mullenweg wordpress
2.0,sxsw starting ctia around corner googleio hop skip jump good time product_target fan
2.0,beautifully smart simple idea wrote hollergram ipad product_target sxsw httpbitlyieavob
2.0,counting days sxsw plus strong canadian dollar means stock product_target gear
2.0,excited meet sxsw show sprint galaxy still running product_target fail
2.0,find amp start impromptu parties sxsw httpbitlygvlrin cant wait til product_target app comes
2.0,foursquare ups game time sxsw still prefer far best looking product_target app date
2.0,gotta love sxsw google calendar featuring top parties show cases check via gthttpbitlyaxzwxb
2.0,great sxsw ipad product_target
2.0,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw
0.0,noticed dst coming weekend many product_target users hour late sxsw come sunday morning sxsw product_target
2.0,added sxsw flights matching people planesairports also downloaded iphone product_target nicely done
2.0,must sxsw product_target lovely review forbes sxsw ipad product_target holler gram
2.0,need buy im austin sxsw sure ill need q austin apple store
2.0,oh god sxsw product_target ipad pure unadulterated awesome easier browse events ipad website
2.0,okay really yay new product_target kthxbai sxsw
2.0,photo installed sxsw iphone product_target really nice
2.0,really enjoying changes gowalla product_target looking forward seeing else amp foursquare sleeves sxsw
2.0,im looking forward smcdallas pre sxsw party wed hoping ill win product_target resulting shameless promotion chevysmc
2.0,haha awesomely rad ipad product_target httpbitlyhtdfim hollergram sxsw via
2.0,someone started austin group google groups presxsw great idea
2.0,new looks like going rock update iphone android push tonight httpbitlyetsbzk sxsw keepaustinweird
2.0,right app product_target sweeeeet nice job team sxsw
2.0,smart hollergram ipad product_target sxsw may leave vuvuzela home
2.0,must product_target ipad going sxsw hollergram
2.0,best ha first line sxsw quotpopupquot apple store event planner eventprofs pcma
0.0,false alarm product_target circles coming probably ever product_target circles social sxsw
2.0,great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell
2.0,opens instant access waited one apple sxsw
2.0,hooray product_target opening popup store austin sxsw
2.0,wooooo product_target store downtown austin open til midnight
2.0,talking googles effort allow users open systems bettercloud
2.0,stop sxsw chaos amp hunt austin java spy game chance win product_target
2.0,omfg heard apples popup store downtown austin pics already gowalla sxsw
1.0,smile think apples quotpopup storequot austin would lot interesting actually know popped sxsw
0.0,attending product_target design headaches sxsw
2.0,check amp line product_target austin power sxswi sxsw
2.0,come party w product_target tonight sxsw bands food art ice cream nifty interactive maps
2.0,holla product_target party best ever butt sxsw
2.0,love product_target case sxsw cant product_target fail
2.0,new post iphone product_target makes easy connect social networks people meet sxsw
2.0,nice iphone product_target behaving today crashes yesterday ridiculous sxsw
2.0,nice hey product_target fans peek space thats slated popup sxsw product_target store tomorrow
2.0,one thing great great earth face product_target company love sxsw sxwsi
2.0,thanks mention new speech ipad apps showcased sxsw conf sxswh sxsh
0.0,sxsw provide product_target chargers ive changed mind going next year
2.0,xmas shiny new apps new book popup product_target stores sxsw christmas nerds
2.0,yai new ubersocial product_target app store includes uberguide sxsw sponsored cont
2.0,fast fun amp future product_target presenting sxsw search local mobile
2.0,headline quotipad musthave gadget sxswquot hmm could seen one coming gadget
2.0,quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy
2.0,quotgoogle tweetquot new quotthink speakquot mark belinsky panel
2.0,kawasaki quotnot cs lewis level reasoning apples continued existence evidence existence godquot bawling sxsw
2.0,kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment via
2.0,sxsw apple product_target great thoughts w japan apac regions dealing w earthquake amp tsunami trauma sxswi
2.0,sxsw product_target schools marketing experts
2.0,temporary product_target store def tent powerhouse gym sxsw
2.0,temporary product_target store congress sxsw along happy hipsters
2.0,product_target wins sxsw opening temporary store downtown austin support launch good
2.0,product_target austin trending today fun sxsw nerdy nerds
2.0,christian ipad iphone devs want talk u sxsw maybe wk together cool product_target
2.0,apple taken sxsw austin storm excited part mobile
2.0,haz ifrom sxsw
2.0,stacks waiting bought sxsw got mine hassle apple handled perfectly
2.0,take sxsw major south korean director gets make movie entirely product_target
2.0,beautiful sxsw product_target store sxsw pic
2.0,must sxsw product_target lovely review forbes sxsw ipad product_target holler gram
2.0,temporary sxsw product_target store product_target sneaky usual
2.0,sxsw beta testing interactive book ipad product_target moonbot studios louisiana cool
2.0,apple sxsw day one seeing ton
2.0,sxsw product_target store sold everything except wifi manage
2.0,sxsw product_target store sold everything except wifi also known white jeans configuration
2.0,offered sxsw product_target promo ninjafinder users fans sxsw sucks sxsw
2.0,poursite sxsw learning lifechanging impact product_target real peoples actual lives bravo
2.0,apple sxsw store still product_target short lines
2.0,left sxsw tradeshow demo google theatre ok see presenters using
2.0,anyone sxsw want make quick hundred dollars new product_target hoc apple store gets hundred plus cost
2.0,monday sxsw barry diller new york times congress lunch w hotel party product_target party six dirty martinis mondays
0.0,seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync
2.0,ready sxsw iphone apps make ur blogging easier sxsw sxswi
0.0,sxswa conflagration doofusness
2.0,attention sxswers rumored popup temporary product_target store sxsw ipad launch needs
2.0,went sxswi lousy product_target sxsw
2.0,winning picture product_target google sxsw
0.0,spent come sxsw already used product_target wait couple city blocks sxsw
2.0,behind emails give line product_target composed replies sxsw protip
2.0,like night line around block popup apple stores selling sxsw
0.0,im product_target seen wild people say fast still pics terrible sxsw
2.0,product_target takes sxsw video
2.0,many product_target snapping away keynote slides sxsw
2.0,new post iphone apps well using south southwest interactive sxsw sxswi
2.0,sweet new google maps demo going ballroom sxsw
2.0,million miles per day driving google maps navigation sxsw
2.0,sxsw day product_target store theres still lineand growing
2.0,youre band sxsw want share track audience stage use frostwire product_target theres wifi available
2.0,u iphone dont need caruse zimride etc share rides sxsw shareable
2.0,picked mophie battery case product_target prep sxsw lugging around laptop amp using product_target huge win last year
2.0,rumor monger good read google circles preview sxsw via socbiz fb
2.0,hobo shotgun video game coming ipadiphone users yes please sxsw
2.0,build store less hours one biggest launches companys history got product_target sxsw
2.0,read groupme sxswsounds like incredible product_target available android phones yet
0.0,product_target alarms botch timechange many sxswers freak late flights missed panels behind bloody marys
2.0,shouts ladies holding product_target free sxsw shows take photos sipping free beer cc
0.0,meant also wish sxsw dyac stupid product_target
2.0,rumors product_target store opening sxsw amp congress signs point yes
2.0,picked product_target sxsw pop apple store minute wait
2.0,brilliant enlightening game mechanics presentation product_target sxsw
2.0,marketing sales genius product_target sxsw
2.0,need sxsw ipad product_target laptop dictaphone vidcamera wow love meet real cerebellum charged people
2.0,sxsw product_target iphone ridiculous personal planner next days
0.0,found product_target kyping iphones geolocation amp releasing background need patch batterykiller sxsw
2.0,sxsw product_target iphone live rsvp events phone amp check sundayswaggereventbritecom scoremore
2.0,love app awesome must see product_target app sxsw quotbizzyquot
1.0,sxsw product_target quotpopupquot store nuts still packed
0.0,course product_target built temp store austin texas understand concept corralling cattle sxsw
2.0,love product_target didnt let something like retail store near sxsw keep away opening popup store
2.0,surprise product_target opened popup store austin nerds town sxsw new cnet
2.0,surprise apple opened popup store austin nerds town sxsw new ipads cnet
2.0,surprise product_target opened popup store austin nerds town sxsw new ipads
2.0,product_target great example retail store layed future registers checkout line sxsw
2.0,product_target opening temporary store downtown austin sxsw ipad launch gswsxsw
0.0,product_target opening temporary store downtown austin sxsw ipad launchquot oh yay traffic
2.0,sxsw apple popup store open noon fresh shipment product_target im pretty sure im going one fingers crossed
2.0,technews product_target saves sxsw set open popup store technews product_target sxsw tech
2.0,sxsw product_target schools marketing experts
2.0,sxsw product_target schools marketing experts via
2.0,sxsw product_target schools marketing experts via ltlt true love loathe one marketing like
2.0,sxsw product_target schools marketing experts cnet
2.0,sxsw product_target schools marketing experts cnet blogs austin atx retail
2.0,product_target store downtown austin open til midnight theres still time
0.0,quotthe product_target store mall sunday crowded line fake need fucking donglequot genius let sxsw
2.0,makeshift product_target store congress youre kidding amazing sxsw product_target
2.0,temporary apple store sxsw really coolas product_target apple sxsw fanboy
2.0,temporary product_target store set sxsw shit temptation going control
2.0,temporary product_target store opens congress line already growing ipad viewio via sxsw
2.0,temporary product_target store block office cant wait see line tomorrow photos come sxsw
0.0,ipad news apps last year sxsw
2.0,iphone apps probably need use sxsw
2.0,million mobile google maps users sxsw
2.0,product_target new mobile apps using
2.0,ipad apps like software development release start working update sxsw
1.0,arrived sxsw issue hasnt resolved dying use iphone product_target cant login
2.0,overheard sxsw quotthe product_target relaxing computerquot agreed product_target apple
0.0,overheard sxsw interactive quotarg hate product_target want blackberry backquot shocked
0.0,sxsw quotapple comes cool technology ones ever heard dont go
2.0,last year sxswi everbody talking product_target year social media driven revolutions year better sxsw
2.0,long line product_target pop store ipad great marketing product_target sxsw
2.0,product_target people work people rather people work agileagency
2.0,knackered home playing product_target updating iphone timeline smashed partytweets cant make go bed sxsw
0.0,overheard mdw ill second quothalfway product_target battery already havent even boarded plane sxswquot amateurhour
2.0,technews sxsw product_target schools marketing experts technews product_target jobsco sxsw tech
2.0,huge line apple store austin sxsw crowd tripping new product_target
2.0,ur product_target aclu partyu sxsw
2.0,laughed product_target spent week hauling macbook everywhere really want product_target shoulder rub sxsw
2.0,sxsw attendees need qr code reader iphone tweet us image badge first optiscan free
2.0,hey sxsw attendeesyou hop line apple store four days til new comes
0.0,took away lego pit replaced recharging station sxsw might check prices iphone crap samsung product_target
0.0,bad product_target shows late qs process poopoos ideas leaves early even quotim creativequot busy gamestorming sxsw
0.0,trying balance power power needs iphone vs product_target sxsw product_target sucks quick might go airplane mode
2.0,product_target battery winning sxsw
0.0,product_target battery cant keep tweets thanks apple sxsw precommerce
2.0,fun watch ipadmadness product_target opening popup store austin sxsw sxsw
2.0,control product_target set open popup shop core sxsw action via cc
2.0,celebrate beauty web msft launch amp play new game win sxsw
0.0,best thing ive heard weekend sxsw quoti gave product_target money japan relief dont need product_target
2.0,product_target betterthey time improve sxsw
2.0,go beyond earth hour year sharing positive actions world download earthhour iphone product_target sxsw
0.0,product_target vs bing bettersearch bing shot success w structured search potentially higher margin cpa model vs product_target sxsw
2.0,course bing results good googles seo sxsw qagb
2.0,impulsive buy friends sxsw gt one selling gen product_target
2.0,buying new ipads geekdate apple sxsw
2.0,someones buying present product_target opening popup store austin sxsw
2.0,nice find rsqs sxsw ipad product_target
2.0,exciting wait product_target opening temporary store downtown austin sxsw amp ipad launch
2.0,great certain meetings hello holler gram new ipad product_target hollergram sxsw
2.0,dont miss charles chen androidchromeos access sxsw product_target booth exhibit hall sxsw
0.0,ipad coming sxsw guess apples pretty desperate give attention
2.0,youre coming sxsw sure download sxsw go product_target schedules locations events
2.0,seriously considering leaving macbook pro home flying solo product_target week think make work sxsw
2.0,four days product_target sxsw weekend battlela
0.0,product_target dead find secret batphone sxsw
2.0,google tv demo league extraordinary hackers cool stuff like web apps tv google sxsw lxh
2.0,best product_target design big chunky elements generous space clarity trumps density tap quality trumps tap quantity tapworthy sxsw
2.0,attending designing product_target interfaces new navigation schemas w great stuff far sxsw
0.0,barry diller thinks product_target content nuts sxsw
2.0,really need another big social network right thanks sxsw google
0.0,japan docomo introduced mobile apps six years product_target came product_target store jpmobilesummit sxsw
0.0,jeez guys dunno product_target popup golds gym u realize unjobsaesthetic sxsw product_target
2.0,even begins product_target wins sxsw tc product_target
2.0,even begins product_target wins sxsw
2.0,even begins product_target wins sxsw opening temporary store downtown austin support launch genius
2.0,even begins product_target wins sxsw techcrunch ipad
2.0,even begins product_target wins sxsw
2.0,even begins product_target wins sxsw
2.0,even begins product_target wins sxsw
2.0,even begins product_target wins sxsw
2.0,even begins product_target wins sxsw via
2.0,even begins product_target wins sxsw
2.0,even begins product_target wins sxsw via
2.0,even begins product_target gt gonna sum via
2.0,even begins product_target wins sxsw techcrunch sxsw
2.0,even begins product_target wins sxsw ltlt win big sxsw
2.0,even begins product_target wins sxsw product_target pm sxsw
2.0,even begins product_target wins sxsw product_target sxsw tc
2.0,even begins product_target product_target sxsw
2.0,even begins product_target wins sxsw tc product_target sxsw
2.0,even begins product_target via product_target sxsw
2.0,even begins product_target wins sxsw via product_target sxsw
2.0,badgeless event free drinks heading free googlesponsored happy hour semantic web austin fogo de
2.0,best swag ever thanks charging product_target thanks sxsw
2.0,timing everything product_target brand winner sxsw pnid sxsw
2.0,hey sxsw exhibitors capture booth experience retrollect disc popular disc wins product_target
2.0,sxsw fantastic schedule product_target iphone bummer still crackberry
2.0,photo far best sxsw accessory product_target followed closely margarita
2.0,one fav photos sxsw far amp product_target sxsw
2.0,think fell bit love product_target today thanks throwing nerd party speakeasy sxsw
2.0,way figure product_target good replacement making sxsw year
0.0,need find better sxsw stream follow inane product_target tweets surely southby
2.0,product_target focusing bridging digitalphysical divide eg maps streetview hotpot amp autonomous driving sxsw
2.0,hey sxsw folks please keep us posted google circles hope youre blast
2.0,product_target follow customers sxsw forbes alcoholics call rest us call genius
2.0,good news austinbound product_target fanboys sxsw
2.0,wish list tech ntn sxsw google apps helps level playing field kids may software home
2.0,hitlantis ipad cool song explorer product_target hitlantiscom sxsw musicviz
